entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Bread,2022,0.87876085,0.40706247,1.43722879,3.58139283,2.2412011,0.94343083,2.8587837,8.36191751,1.006196007,0.464787932,0.186124482,TRUE,1,,
Breakfast cereal,2022,1.49342728,0.42017413,1.76284568,8.78194793,2.89519037,0.82342223,3.19354567,15.1892839,1.709999445,0.479758954,0.228292629,TRUE,1,,
Brie,2022,19.1395814,5.70270438,10.6096491,6.68689443,22.4543884,6.68174846,12.4495953,7.82771803,21.91514378,6.511403951,1.373974312,TRUE,3,,
Broccoli,2022,0.89740152,2.69097195,3.02636357,20.2620758,1.00350227,3.07431247,3.37183862,22.2106986,1.027539889,3.07257824,0.391921143,TRUE,1,,
Butter,2022,3.32450318,1.16539314,47.8161509,1.41465742,3.61979675,1.25047373,53.3421415,1.50062828,3.80661226,1.33065735,6.192303104,TRUE,3,,
Cabbage,2022,0.89028407,3.04895629,4.76588401,23.6596632,0.80270232,2.74964437,4.30183442,21.3187259,1.019390288,3.481328281,0.617193099,TRUE,1,,
Caesar salad,2022,2.07918934,1.4961306,6.44821992,1.8906696,2.75107602,2.0076372,8.63654023,2.53819831,2.380706892,1.708296635,0.835059524,TRUE,3,,
Camembert,2022,16.2814305,5.17189331,10.0849315,6.73105429,19.0443574,5.9924921,11.6634225,7.74443496,18.64251276,5.905318651,1.306022159,TRUE,3,,
Carrot cake,2022,2.01072201,0.64388377,4.55450909,1.42148518,2.7843686,0.86070575,6.360089,1.88694291,2.302310643,0.735192822,0.589819554,TRUE,3,,
Carrots,2022,0.93516338,2.33361807,11.9995337,22.4629378,1.60182349,4.01216939,20.9252408,38.8949447,1.070777856,2.664548065,1.553967611,TRUE,1,,
Cashew nuts,2022,2.08764425,0.37332911,1.19620073,0.62460745,11.7208816,2.05283316,6.78995512,2.73099057,2.390387906,0.42627085,0.154910786,TRUE,1,,
